sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_lon;accel_trans;accel_down
1646666469;942645;57.719199014;11.95685742;0.004197991;0.01277076;0.04457595;0.03379765
1646666470;42697;57.719199012;11.956857414;0.004778667;-0.05170669;0.03727939;0.08381542
1646666470;142724;57.719199011;11.956857408;0.005718931;-0.07601467;0.02949928;0.1089114
1646666470;242732;57.71919901;11.956857401;0.005315107;-0.0657778;0.01794562;0.1334019
1646666470;342665;57.719199011;11.956857397;0.00643537;-0.0743404;0.0424733;0.1222305
1646666470;442912;57.719199012;11.956857392;0.005787371;-0.05663632;0.03685492;0.03865838
1646666470;542683;57.719199013;11.956857386;0.005699421;-0.02207767;0.01426061;-0.02317012
1646666470;642676;57.719199014;11.956857381;0.005416548;0.02224884;-0.07689358;-0.07911521
1646666470;742694;57.719199015;11.956857375;0.00463794;0.07911211;-0.08951814;-0.1307164
1646666470;842685;57.719199016;11.956857369;0.005462339;0.1077306;-0.0428869;-0.1200688
1646666470;942682;57.719199016;11.956857363;0.005565383;0.07265358;0.02035907;-0.08356222
1646666471;42766;57.719199017;11.956857356;0.006159676;0.04102583;-0.006773864;-0.05987085
1646666471;142729;57.719199019;11.95685735;0.006304454;-0.002370946;-0.002552377;-0.01281271
1646666471;242680;57.71919902;11.956857343;0.006070951;-0.07416738;0.02168002;0.08448455
1646666471;342688;57.719199022;11.95685734;0.00711081;-0.07707647;0.05230168;0.1339754
1646666471;443005;57.719199024;11.956857336;0.006361516;-0.09613617;0.0547354;0.1524693
1646666471;542803;57.719199026;11.956857332;0.006544703;-0.09305554;0.05826968;0.06659523
1646666471;642774;57.719199028;11.956857328;0.006866666;-0.07690522;0.01582191;0.03803568
1646666471;742732;57.71919903;11.956857323;0.006947821;-0.02578406;-0.02298323;-0.02660363
1646666471;842731;57.719199032;11.956857318;0.006074453;0.04400558;-0.06032303;-0.08041706
1646666471;942716;57.719199034;11.956857313;0.005964736;0.05842663;-0.03930527;-0.0884655
1646666472;42746;57.719199036;11.956857308;0.006731804;0.07991416;-0.01746802;-0.1265749
1646666472;142737;57.719199038;11.956857302;0.006350284;0.08567051;-0.02768197;-0.1143637
1646666472;242732;57.71919904;11.956857296;0.006475326;0.0584054;-0.03111503;-0.07675849
1646666472;342718;57.719199045;11.956857293;0.006867348;0.009761695;-0.03083011;0.007127199
1646666472;442959;57.719199049;11.956857288;0.007723278;-0.04045584;0.03460917;0.06723825
1646666472;542767;57.719199053;11.956857284;0.00788798;-0.07041531;0.08152387;0.1400581
1646666472;642734;57.719199058;11.956857279;0.008613736;-0.1005747;0.0606409;0.1341438
1646666472;742803;57.719199062;11.956857274;0.008287672;-0.08576143;0.02806019;0.082564
1646666472;842762;57.719199066;11.956857269;0.007948409;-0.05334696;0.002120264;-0.001232852
1646666472;942763;57.719199071;11.956857264;0.007644848;0.006116834;-0.02000718;-0.03838489
1646666473;42766;57.719199076;11.956857259;0.007059428;0.04922764;-0.01133128;-0.08928683
1646666473;142812;57.71919908;11.956857253;0.007668331;0.080078;-0.03711875;-0.1353477
1646666473;242767;57.719199084;11.956857247;0.007582268;0.07573597;-0.05269521;-0.1297921
