,Unnamed: 0,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,targetSpeed,throttle,brake,steeringAngle_FL,steeringAngle_FR,SteeringWhlAngle,location_x,location_y
21,21,126.54356099682629,0.0529,-1.2896,9.8051,0.004077645484,-0.098404452205,0.0420378446578979,13.995504573186684,14.0,0.3879007241780788,0.0,1.3993159532546997,1.4187133312225342,0.4968442806191453,100.2703857421875,-1712.062255859375
22,22,126.6435609983164,-0.0095,-1.3882,9.8043,0.00258955895,-0.102666661143,0.0521526560187339,13.995127839938576,14.0,0.3882058330611679,0.0,1.399321675300598,1.4187192916870115,0.4968463310451252,100.35299682617188,-1713.4593505859375
23,23,126.7435609998065,0.0078,-1.4443,9.8038,0.001325260149,-0.104001030326,0.0625054091215133,13.994926517997715,14.0,0.3884156282188565,0.0,1.3993250131607056,1.4187226295471191,0.4968475107422643,100.44989013671876,-1714.855224609375
24,24,126.84356100129662,0.0047,-1.4764,9.8035,0.000613304612,-0.104418516159,0.0729329213500022,13.99486899290114,14.0,0.3885435147432683,0.0,1.3993258476257324,1.4187235832214355,0.4968478197105627,100.56126403808594,-1716.25048828125
25,25,126.94356100278674,0.0411,-1.493,9.8034,0.000250089157,-0.104548640549,0.0833830758929252,13.994925203867451,14.0,0.3886049852777336,0.0,1.3993254899978638,1.4187231063842771,0.4968476792704271,100.68719482421876,-1717.6441650390625
26,26,127.04356100427684,-0.0227,-1.5076,9.8033,7.9672987e-05,-0.104590147734,0.0938409939408302,13.995164039935668,14.0,0.3885449762897507,0.0,1.3678205013275146,1.3863489627838137,0.4856105022597567,100.82749938964844,-1719.03662109375
27,27,127.14356100576695,0.0504,-1.4845,9.8035,-0.00037701102,-0.102978907526,0.1041965037584304,13.99559468286043,14.0,0.388359921510834,0.0,1.3036649227142334,1.3204854726791382,0.4627348405509116,100.98180389404295,-1720.4276123046875
28,28,127.24356100725709,0.0009,-1.4519,9.8037,-0.001057043206,-0.099161505699,0.1142489686608314,13.99621351725148,14.0,0.3880493178687596,0.0,1.2078248262405396,1.222249984741211,0.4285799540547945,101.14939880371094,-1721.8170166015625
29,29,127.3435610087472,-0.0143,-1.3818,9.8043,-0.001858502161,-0.093009360135,0.123768925666809,13.997066838223276,14.0,0.3875754730261859,0.0,1.054981350898743,1.065970540046692,0.3741558202825981,101.32921600341795,-1723.205078125
30,30,127.44356101023732,0.0626,-1.263,9.8051,-0.003044856945,-0.083165563643,0.1324340403079986,13.998076339655356,14.0,0.3869945509889819,0.0,0.8654760122299194,0.8728582859039307,0.3067541753392566,101.51974487304688,-1724.5916748046875
31,31,127.54356101172743,-0.0088,-1.1162,9.8062,-0.004225051496,-0.070260174572,0.1399178206920623,13.999212613452116,14.0,0.3863166445923986,0.0,0.5848610997200012,0.5882231593132019,0.2071030584176752,101.71878814697266,-1725.9774169921875
