,Unnamed: 0,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,targetSpeed,throttle,brake,steeringAngle_FL,steeringAngle_FR,SteeringWhlAngle,location_x,location_y
29,29,126.22867247957038,0.1801,-4.1672,9.7579,-0.005068089813,-0.282161295414,0.3714514374732971,13.971187331017994,14.0,0.4116491209329023,0.0,3.1618711948394775,3.2625808715820312,1.1293621024692924,103.9015121459961,-1722.712646484375
30,30,126.3286724810605,0.1668,-3.8671,9.7649,-0.008505476639,-0.253696471453,0.3978609442710876,13.980804865206975,14.0,0.4061209312336571,0.0,2.6033613681793213,2.671276807785034,0.9281049559824568,104.45709991455078,-1723.9949951171875
31,31,126.4286724825506,0.1733,-3.4272,9.7742,-0.012063856237,-0.215632721782,0.4208051860332489,13.991814164313787,14.0,0.3995480778318329,0.0,1.7688839435577393,1.7999906539916992,0.628839863226693,105.03768920898438,-1725.2674560546875
32,32,126.52867248404073,0.1942,-2.7581,9.7861,-0.017682891339,-0.159924566746,0.4387973845005035,14.001960508939948,14.0,0.3935053958145643,0.0,1.021086812019348,1.0313777923583984,0.3620942456318856,105.63674926757812,-1726.5325927734375
33,33,126.62867248553084,0.1397,-2.049,9.797,-0.020259885117,-0.10278763622,0.4511123299598694,14.01011375121418,14.0,0.388600371903586,0.0,0.4047595560550689,0.4063669741153717,0.143243204853304,106.24801635742188,-1727.792724609375
34,34,126.72867248702096,0.0752,-1.3695,9.8045,-0.020025935024,-0.052364006639,0.4581344723701477,14.015864272492845,14.0,0.3850571815050488,0.0,-0.013658489100635,-0.0136566665023565,-0.0048270937946891,106.86607360839844,-1729.0501708984375
35,35,126.82867248851107,0.0694,-0.7461,9.8086,-0.017156926915,-0.014872403815,0.4609447419643402,14.01925950543666,14.0,0.3828511209485375,0.0,-0.4029101133346557,-0.4013298749923706,-0.1422140209185192,107.48600006103516,-1730.3072509765625
36,36,126.9286724900012,0.0668,-0.185,9.8101,-0.014711555094,0.016707295552,0.4603872299194336,14.019955926363956,14.0,0.3822840751299038,0.0,-1.0379964113235474,-1.0275734663009644,-0.365630289498306,108.10213470458984,-1731.5665283203125
37,37,127.0286724914913,0.0124,0.4404,9.8098,-0.016041224822,0.058542501181,0.456015795469284,14.016859694597638,14.0,0.3841670258615777,0.0,-1.96338152885437,-1.926431655883789,-0.6895632567094839,108.70748901367188,-1732.8306884765625
38,38,127.12867249298142,-0.0132,1.2175,9.8066,-0.020200742409,0.117154888809,0.4464017450809479,14.010158324491082,14.0,0.388335036936672,0.0,-2.841137647628784,-2.76444149017334,-0.995105377502375,109.29485321044922,-1734.1029052734375
39,39,127.22867249447154,-0.0246,2.0237,9.7993,-0.021954989061,0.177914232016,0.4308083653450012,13.99956105820806,14.0,0.3950922040960952,0.0,-3.7396743297576904,-3.607992649078369,-1.306196625109529,109.8568115234375,-1735.3853759765625
40,40,127.32867249596164,-0.0562,2.8225,9.788,-0.022787647322,0.239640265703,0.409096211194992,13.98808926085099,14.0,0.4023128611422948,0.0,-4.269573211669922,-4.098849296569824,-1.4888787941162798,110.38713836669922,-1736.6796875
41,41,127.42867249745176,-0.1046,3.4692,9.7748,-0.019095737487,0.284899353981,0.3822637498378753,13.977867753919208,14.0,0.4087855134353204,0.0,-4.49892520904541,-4.309807777404785,-1.5677715458794874,110.88130950927734,-1737.9873046875
42,42,127.52867249894187,0.0111,3.9701,9.7631,-0.013392009772,0.31117939949,0.3521093428134918,13.970203127529572,14.0,0.4137543355499002,0.0,-4.509552955627441,-4.319561004638672,-1.5714246746869656,111.3363037109375,-1739.3079833984375
43,43,127.628672500432,-0.0003,4.2533,9.7557,-0.007637467235,0.321132719517,0.3203603327274322,13.964674533529736,14.0,0.4175997235209358,0.0,-4.506412506103516,-4.31667947769165,-1.57034525180467,111.75008392333984,-1740.641357421875
44,44,127.72867250192212,0.0557,4.4474,9.751,-0.004112606868,0.324588894844,0.2880258560180664,13.961039806256345,14.0,0.4204093372959553,0.0,-4.51001501083374,-4.3199849128723145,-1.5715834843923129,112.12109375,-1741.9869384765625
45,45,127.82867250341224,0.0992,4.5798,9.7482,-0.002230387414,0.325988411903,0.2554750144481659,13.95935593869082,14.0,0.4220780971676022,0.0,-4.48618745803833,-4.298114776611328,-1.563392734803287,112.44851684570312,-1743.343505859375
46,46,127.92867250490237,0.1087,4.6295,9.7467,-0.000895778532,0.325438320637,0.2229074835777282,13.960011488762111,14.0,0.4222905841131392,0.0,-4.373409748077393,-4.194468975067139,-1.5246096295941405,112.7322998046875,-1744.7099609375
47,47,128.02867250639247,0.1348,4.6054,9.7471,0.000822529662,0.320237487555,0.190689668059349,13.96355090870795,14.0,0.4206439760910194,0.0,-4.110167503356934,-3.9516971111297607,-1.4339837505253707,112.97346496582033,-1746.0848388671875
48,48,128.12867250788258,0.1718,4.4771,9.7501,0.003485190682,0.30653744936,0.1595280617475509,13.97062015328768,14.0,0.4166664236752028,0.0,-3.6110682487487793,-3.488128185272217,-1.2617733317021904,113.1746063232422,-1747.466552734375
49,49,128.2286725093727,0.133,4.1794,9.757,0.007743060589,0.27876278758,0.1306330114603042,13.980659538838548,14.0,0.4107519279424377,0.0,-2.934312582015991,-2.8525798320770264,-1.0274427579835,113.33995819091795,-1748.8541259765625
