,Unnamed: 0,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,targetSpeed,throttle,brake,steeringAngle_FL,steeringAngle_FR,SteeringWhlAngle,location_x,location_y
11,11,131.9096271180024,0.0021,-0.2447,9.8098,0.000153245594,-0.017261484638,0.0076506240293383,13.999837939509764,14.0,0.3849137903453895,0.0,0.2327263355255127,0.233256846666336,0.0823147757945298,100.03819274902344,-1698.0672607421875
12,12,132.0096271194925,0.0026,-0.2473,9.8098,4.3867876e-05,-0.017293203622,0.0093859639018774,13.999840638111452,14.0,0.3849150957249175,0.0,0.2327263355255127,0.233256846666336,0.0823147757945298,100.05294036865234,-1699.46728515625
13,13,132.10962712098262,0.003,-0.2473,9.8098,9.08029e-07,-0.017302453518,0.0111185116693377,13.999745470711863,14.0,0.3849873278797834,0.0,0.3757142722606659,0.3770989179611206,0.1329515094565951,100.07090759277344,-1700.8673095703125
14,14,132.20962712247274,0.0046,-0.3312,9.8098,0.001792772207,-0.024795966223,0.0133320549502968,13.999150285251057,14.0,0.3854122849716376,0.0,0.779323399066925,0.7853041291236877,0.2761402130042724,100.09455871582033,-1702.267333984375
15,15,132.30962712396283,0.0101,-0.5823,9.8092,0.006227484904,-0.04802519083,0.0173083916306495,13.996635167922374,14.0,0.3871840100274569,0.0,1.5883793830871582,1.6134179830551147,0.5643294031790932,100.1291275024414,-1703.66650390625
16,16,132.40962712545297,-0.0522,-1.1214,9.8072,0.013977722265,-0.096578381956,0.0252311583608388,13.991577601201916,14.0,0.390649665372516,0.0,2.429265260696411,2.4883034229278564,0.8655284829983237,100.18111419677734,-1705.06494140625
17,17,132.5096271269431,-0.0127,-1.7887,9.8019,0.019016485661,-0.154344812036,0.0385812483727932,13.983960958591046,14.0,0.3958123783988729,0.0,3.198103904724121,3.3011703491210938,1.142445449326633,100.25728607177734,-1706.46142578125
18,18,132.6096271284332,-0.0603,-2.4944,9.7931,0.020750131458,-0.2114572227,0.0576530955731868,13.974773988308929,14.0,0.4020113395863358,0.0,3.789828062057495,3.9353630542755127,1.3565812371291444,100.36405181884766,-1707.85498046875
19,19,132.70962712992332,-0.0289,-3.162,9.7815,0.019304346293,-0.259839147329,0.0818693488836288,13.963995559321738,14.0,0.4093936361122949,0.0,4.331984043121338,4.523092269897461,1.5535639476485643,100.50730895996094,-1709.2440185546875
20,20,132.80962713141344,-0.0348,-3.7843,9.7686,0.017551019788,-0.302964240313,0.1105816811323165,13.954065512214372,14.0,0.4162314504478684,0.0,4.61354398727417,4.830862998962402,1.656163331359006,100.69171905517578,-1710.627197265625
21,21,132.90962713290355,-0.0289,-4.2849,9.7562,0.013511956669,-0.332026690245,0.142714262008667,13.946252086984169,14.0,0.4218365495915798,0.0,4.7167229652404785,4.944086074829102,1.6938130846737829,100.92020416259766,-1712.0028076171875
22,22,133.00962713439367,0.0468,-4.6046,9.747,0.00894976873,-0.347643494606,0.1769047528505325,13.941046217756709,14.0,0.4259373449772254,0.0,4.716982841491699,4.944371700286865,1.6939079660294007,101.19454956054688,-1713.369384765625
23,23,133.10962713588378,0.0847,-4.8139,9.7411,0.005070979707,-0.353465020657,0.2120394706726074,13.93795521706504,14.0,0.4288833990028468,0.0,4.7171406745910645,4.944544315338135,1.6939654903089465,101.51580810546876,-1714.72509765625
24,24,133.2096271373739,0.1018,-4.9581,9.7373,0.002805328695,-0.355643391609,0.2475267797708511,13.936721405620483,14.0,0.4307668174494087,0.0,4.717206954956055,4.94461727142334,1.6939897021883257,101.88441467285156,-1716.0687255859375
25,25,133.30962713886402,0.151,-5.0345,9.7353,0.001533966046,-0.356466978788,0.2831469774246216,13.93702593994765,14.0,0.4317527175590337,0.0,4.717198371887207,4.944607734680176,1.6939865563292875,102.30037689208984,-1717.3985595703125
26,26,133.40962714035413,0.1737,-5.0784,9.734,0.000801718794,-0.356790840626,0.3188171684741974,13.939562371701829,14.0,0.4312768589803267,0.0,4.61427116394043,4.831660270690918,1.6564285946871455,102.76297760009766,-1718.7127685546875
27,27,133.50962714184425,0.1537,-5.062,9.7343,-0.000773145934,-0.352049916983,0.3542013466358185,13.94459547774435,14.0,0.4291708229144045,0.0,4.40422248840332,4.601888179779053,1.5798676547595465,103.27071380615234,-1720.0108642578125
28,28,133.60962714333436,0.23,-4.9294,9.7375,-0.002999123652,-0.340231209993,0.3886649310588836,13.952107849692322,14.0,0.4254212083302192,0.0,4.089304447174072,4.259219646453857,1.4652971538897386,103.82127380371094,-1721.2919921875
29,29,133.70962714482448,0.1825,-4.7515,9.7427,-0.005599577911,-0.320609241724,0.4214531481266022,13.962521239637187,14.0,0.4196701265472804,0.0,3.584310293197632,3.714240074157715,1.2821068162962976,104.4111785888672,-1722.5565185546875
30,30,133.8096271463146,0.2412,-4.3868,9.7518,-0.00946298521,-0.28864338994,0.4514925181865692,13.975043704455675,14.0,0.4124698223862081,0.0,2.9532928466796875,3.0409820079803467,1.0541104859259818,105.0357666015625,-1723.805908203125
31,31,133.9096271478047,0.2451,-3.8971,9.7638,-0.013495247811,-0.245688006282,0.4776289463043213,13.98940819401437,14.0,0.4038893541087284,0.0,2.0088250637054443,2.049034595489502,0.7147144558915987,105.68832397460938,-1725.04248046875
32,32,134.00962714929483,0.213,-3.1673,9.7787,-0.019894268364,-0.18260140717,0.4981635212898254,14.002680920560106,14.0,0.3959785951483544,0.0,1.1607215404510498,1.1740374565124512,0.4118015991415371,106.36168670654295,-1726.26953125
33,33,134.10962715078497,0.1836,-2.3579,9.7928,-0.02292583324,-0.117566406727,0.5122441649436951,14.013356070934252,14.0,0.3895527850433564,0.0,0.4604807198047638,0.4625623226165771,0.1629925532803666,107.048828125,-1727.490478515625
34,34,134.20962715227506,0.1652,-1.5432,9.803,-0.022798629478,-0.059991881251,0.5202863812446594,14.020861680758673,14.0,0.3849282778964936,0.0,-0.0155469868332147,-0.0155446240678429,-0.0054944803505895,107.74369049072266,-1728.7076416015625
